sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
前鎮,高雄市,40,,良好,2.3,0.65,19.9,26.6,22,6,24.9,30.1,5.1,0.8,351,2024-06-05 08:00,,0.3,3.5,13,1,120.30833356,22.6044507,57
前金,高雄市,29,,良好,0.4,0.39,28.9,31.9,15,3,10.4,11.6,1.1,1.8,312,2024-06-05 08:00,,0.2,2.8,10,0,120.28676111,22.63390278,56
左營,高雄市,27,,良好,0.4,0.38,28.1,27.4,16,8,14.3,15.7,1.3,1.2,353,2024-06-05 08:00,,0.2,8.4,15,0,120.292917,22.674861,54
楠梓,高雄市,23,,良好,0.6,0.38,26.7,24.1,11,2,14.6,17.4,2.8,1.4,50,2024-06-05 08:00,,0.2,3.8,13,0,120.328289,22.733667,53
林園,高雄市,25,,良好,0.8,0.29,18.3,25.8,35,10,5.8,7,1.2,0.5,41,2024-06-05 08:00,,0.2,6.4,25,1,120.41175,22.4795,52
大寮,高雄市,23,,良好,1,0.33,13,18.8,26,7,13.1,15.5,2.4,0.5,80,2024-06-05 08:00,,0.2,7.1,22,3,120.425311,22.56413611,51
鳳山,高雄市,27,,良好,2.2,0.59,26.8,29.7,17,4,12.4,13.7,1.3,0.3,49,2024-06-05 08:00,,0.3,2.5,14,1,120.357422,22.628126,50
仁武,高雄市,23,,良好,1.4,0.42,27.6,22.9,15,7,13.4,15.7,2.2,1.1,66,2024-06-05 08:00,,0.2,7,13,1,120.332631,22.689056,49
橋頭,高雄市,22,,良好,1,0.3,18.4,22.3,18,7,13.4,16,2.5,0.9,53,2024-06-05 08:00,,0.2,6.1,16,1,120.305689,22.757506,48
美濃,高雄市,19,,良好,0.3,0.26,18,19.4,17,0,3.8,5,1.2,0.3,196,2024-06-05 08:00,,0.2,0.1,19,0,120.530542,22.883583,47
臺南,臺南市,43,,良好,,,21.8,27.3,23,14,,,,1,11,2024-06-05 08:00,,0.2,13.1,18,0,120.21947897,22.98928311,46
安南,臺南市,31,,良好,0.4,0.48,23,25.8,17,9,14.2,17,2.7,0.3,327,2024-06-05 08:00,,0.3,9.7,18,0,120.2175,23.048197,45
善化,臺南市,29,,良好,3.5,0.26,22.9,24.8,24,10,8,9.8,1.8,0.8,19,2024-06-05 08:00,,0.2,8.9,16,1,120.29740529,23.11337642,44
新營,臺南市,29,,良好,0.5,0.3,25.2,31.0,13,3,10.9,14.1,3.2,0.3,13,2024-06-05 08:00,,0.2,4,16,0,120.31725,23.305633,43
嘉義,嘉義市,31,,良好,1.4,0.39,29,34.6,22,9,10,12.2,2.1,2,345,2024-06-05 08:00,,0.2,3.3,11,1,120.44125148,23.46477865,42
臺西,雲林縣,40,,良好,1,0.27,22.8,29.6,31,14,8.3,9.9,1.6,1.1,49,2024-06-05 08:00,,0.2,12.2,29,0,120.19933333,23.702175,41
朴子,嘉義縣,35,,良好,1,0.29,18.6,28.6,27,8,7.3,9.5,2.2,1,311,2024-06-05 08:00,,0.2,10.9,22,1,120.2478,23.46538,40
新港,嘉義縣,49,,良好,1.9,0.28,22.9,30.0,32,16,6.2,8.9,2.6,1.1,11,2024-06-05 08:00,,0.2,15.2,27,1,120.345531,23.554839,39
崙背,雲林縣,55,細懸浮微粒,普通,0.5,0.29,22.2,22.6,36,19,7.8,10.4,2.6,0.7,32,2024-06-05 08:00,,0.2,17.1,27,0,120.348742,23.757547,38
斗六,雲林縣,31,,良好,1.2,0.27,21.5,27.3,24,8,8.6,11,2.4,0.6,353,2024-06-05 08:00,,0.2,9.5,19,1,120.544994,23.711853,37
南投,南投縣,36,,良好,0.2,0.37,15.1,24.8,27,8,6.8,9.9,3.1,1.1,40,2024-06-05 08:00,,0.2,11.2,24,0,120.685306,23.913,36
二林,彰化縣,56,細懸浮微粒,普通,1.1,0.22,37.9,25.8,20,13,3.1,3.8,0.7,0.6,0,2024-06-05 08:00,,0.2,17.6,27,1,120.409653,23.925175,35
線西,彰化縣,41,,良好,1.4,0.4,23.1,27.4,27,13,12.6,15.2,2.6,1,25,2024-06-05 08:00,,0.2,12.5,26,1,120.469061,24.131672,34
彰化,彰化縣,37,,良好,1.3,0.49,20.8,27.9,19,12,20.3,24.6,4.3,0.8,0,2024-06-05 08:00,,0.2,11.5,22,1,120.541519,24.066,33
西屯,臺中市,40,,良好,1.4,0.41,20.5,27.6,20,8,18.8,23.4,4.6,1.3,321,2024-06-05 08:00,,0.2,12.4,20,1,120.616917,24.162197,32
忠明,臺中市,41,,良好,1.5,0.48,13.3,23.8,14,7,21,25.8,4.8,1,342,2024-06-05 08:00,,0.3,12.5,28,1,120.641092,24.151958,31
大里,臺中市,56,細懸浮微粒,普通,1.3,0.53,10.4,19.9,30,29,12.5,16,3.5,1.4,270,2024-06-05 08:00,,0.3,17.5,23,1,120.67844444,24.09961111,30
沙鹿,臺中市,35,,良好,1.3,0.35,26.9,32.2,11,8,15.7,17,1.3,0.4,54,2024-06-05 08:00,,0.2,10.9,14,1,120.568794,24.225628,29
豐原,臺中市,22,,良好,1.2,0.36,12.1,24.5,21,5,10.2,13.2,3,0.6,307,2024-06-05 08:00,,0.2,6.7,16,1,120.74252414,24.25699731,28
三義,苗栗縣,22,,良好,1,0.23,17.7,24.4,7,0,4.6,6.7,2.1,0.3,14,2024-06-05 08:00,,0.2,4.2,11,1,120.75956754,24.38248443,27
苗栗,苗栗縣,22,,良好,1,0.37,12.5,23.1,12,5,8.6,11.6,3,1,187,2024-06-05 08:00,,0.2,6.9,11,1,120.82011468,24.56499183,26
頭份,苗栗縣,27,,良好,1.1,0.47,8.6,28.4,18,6,11.9,16.4,4.5,0.8,107,2024-06-05 08:00,,0.2,8.2,15,1,120.89869286,24.69690679,25
新竹,新竹市,30,,良好,0.6,0.46,11.5,32.2,14,6,16,19.5,3.4,1.2,68,2024-06-05 08:00,,0.3,7.7,12,1,120.97236752,24.8056356,24
竹東,新竹縣,28,,良好,0.5,0.41,11.6,18.6,21,8,8.9,10.8,1.9,0.2,121,2024-06-05 08:00,,0.2,8.7,20,1,121.08895493,24.74091408,23
湖口,新竹縣,48,,良好,0.6,0.57,13.3,29.6,19,19,20.7,24.7,4,1.4,111,2024-06-05 08:00,,0.3,14.7,21,1,121.03886894,24.90009696,22
龍潭,桃園市,44,,良好,0.7,0.5,13.1,20.2,21,14,22.6,28.6,6,0.7,137,2024-06-05 08:00,,0.3,13.6,25,1,121.21645772,24.86400048,21
平鎮,桃園市,45,,良好,1,0.6,14.1,27.5,29,12,27,31,4,0.3,131,2024-06-05 08:00,,0.3,13.3,24,1,121.203986,24.952786,20
觀音,桃園市,51,細懸浮微粒,普通,1.6,0.38,17.3,26.2,22,15,19.2,22,2.8,1.7,86,2024-06-05 08:00,,0.2,15.6,23,1,121.08283092,25.03556747,19
大園,桃園市,50,,良好,0.7,0.44,12.9,26.8,31,23,30.1,34.9,4.7,1,131,2024-06-05 08:00,,0.3,15.3,26,1,121.20251473,25.06100357,18
桃園,桃園市,54,二氧化氮,普通,2.2,0.77,9.7,24.4,34,16,35.8,41.3,5.4,1.3,67,2024-06-05 08:00,,0.4,15.9,26,1,121.30500531,24.9947107,17
大同,臺北市,63,細懸浮微粒,普通,0.8,1.08,5.7,22,43,25,42.7,86,43.2,-,-,2024-06-05 08:00,,0.6,20.3,32,0,121.51342074,25.06331455,16
松山,臺北市,52,細懸浮微粒,普通,1.7,0.54,5.4,30.7,27,21,32.5,48.3,15.7,0.8,69,2024-06-05 08:00,,0.2,15.8,28,1,121.578611,25.05,15
古亭,臺北市,51,細懸浮微粒,普通,1.5,0.64,9.2,32.9,25,16,28.9,36,7,0.8,126,2024-06-05 08:00,,0.3,15.7,23,1,121.529556,25.020608,14
萬華,臺北市,53,二氧化氮,普通,0.7,0.53,14.8,32.2,32,15,34.4,39.3,4.9,1.4,83,2024-06-05 08:00,,0.3,15.8,29,0,121.507972,25.046503,13
中山,臺北市,55,二氧化氮,普通,0.8,0.75,11.6,33.6,31,17,36.8,49.6,12.8,1.9,128,2024-06-05 08:00,,0.3,14.8,28,0,121.526528,25.062361,12
士林,臺北市,51,細懸浮微粒,普通,0.3,0.33,34.5,38.6,27,10,15.4,16.4,0.9,0.9,139,2024-06-05 08:00,,0.2,15.5,25,0,121.51666356,25.10334003,11
淡水,新北市,53,細懸浮微粒,普通,0.8,0.45,26.5,39.7,30,14,21.4,24,2.6,2.6,150,2024-06-05 08:00,,0.2,16.4,30,1,121.449239,25.1645,10
林口,新北市,44,,良好,0.7,0.35,32.7,34.8,23,13,17.7,20.6,2.8,2,112,2024-06-05 08:00,,0.2,13.4,25,0,121.36548982,25.07798949,9
菜寮,新北市,57,二氧化氮,普通,1.1,1.01,8.3,28.9,31,17,39.9,48,8,0.9,83,2024-06-05 08:00,,0.4,14.1,28,1,121.481028,25.06895,8
新莊,新北市,57,細懸浮微粒,普通,0.8,0.85,10.5,22.5,31,17,29.7,34.6,4.8,1.3,264,2024-06-05 08:00,,0.4,18.1,30,0,121.4325,25.037972,7
板橋,新北市,57,二氧化氮,普通,0.6,0.87,6.9,26.9,33,14,40.3,59.6,19.2,0.5,129,2024-06-05 08:00,,0.4,13,26,0,121.458667,25.012972,6
土城,新北市,61,細懸浮微粒,普通,0.8,0.77,14.6,25.0,30,20,27.2,35.1,7.8,0.6,152,2024-06-05 08:00,,0.3,19.7,28,1,121.451861,24.982528,5
新店,新北市,57,細懸浮微粒,普通,0.8,0.69,9.3,37.9,28,20,32,42.8,10.7,0.7,157,2024-06-05 08:00,,0.3,18,25,1,121.537778,24.977222,4
萬里,新北市,30,,良好,0.6,0.22,42.4,27.2,21,6,4.8,6.9,2.1,2.9,115,2024-06-05 08:00,,0.1,9.3,22,1,121.689881,25.179667,3
汐止,新北市,43,,良好,0.3,0.37,19.8,21.1,21,11,23.5,29.6,6.1,1.8,18,2024-06-05 08:00,,0.2,13.2,24,0,121.64081,25.06624,2
基隆,基隆市,44,,良好,0.5,0.26,48.9,48.5,16,11,6.5,7,0.5,2.1,73,2024-06-05 08:00,,0.2,9.7,21,0,121.760056,25.129167,1
屏東(枋山),屏東縣,61,臭氧八小時,普通,0,0.14,61.8,58.0,25,13,1.8,1.9,0,1.9,22,2024-06-05 07:00,,0.1,8.4,23,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,35,,良好,0.9,0.4,16,28.0,18,14,14.7,16.8,2.1,1,64,2024-06-05 07:00,,0.4,10.7,16,0,120.65525382,24.39017512,312
新北(樹林),新北市,61,細懸浮微粒,普通,0.4,0.34,12.2,17.5,32,17,19.7,24.7,4.9,0,22,2024-06-05 07:00,,0.2,19.5,31,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,31,,良好,3.9,0.2,32.8,33.9,9,6,5.8,6.6,0.7,1,2,2024-06-05 07:00,,0.2,8.4,13,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,27,,良好,0.2,0.29,20.5,29.8,21,11,12.5,14.2,1.6,0.2,70,2024-06-05 07:00,,0.2,8.1,18,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,20,,良好,0.9,0.23,16.1,22.0,10,4,12.2,14.5,2.3,0.5,46,2024-06-05 07:00,,0.2,5.7,9,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,38,,良好,1.3,0.31,14.9,29.5,22,11,9.5,11.4,1.9,0.6,347,2024-06-05 07:00,,0.2,11.6,20,1,120.56373,23.96117,201
大城,彰化縣,51,細懸浮微粒,普通,0.9,0.21,24.2,31.1,35,15,6.5,8.1,1.6,1.5,62,2024-06-05 07:00,,0.1,15.7,30,1,120.26964167,23.85493056,85
富貴角,新北市,50,,良好,0.3,0.14,56.1,54.2,25,13,1.5,1.6,0.1,2.6,104,2024-06-05 07:00,,0.1,12.8,30,0,121.53656894,25.29681695,84
麥寮,雲林縣,53,細懸浮微粒,普通,1.1,0.28,14,28.8,31,15,6.6,8.2,1.6,1,38,2024-06-05 07:00,,0.2,16.4,26,1,120.251825,23.753506,83
關山,臺東縣,30,,良好,0.7,0.19,26.1,24.6,22,9,3.5,5,1.5,0.5,243,2024-06-05 07:00,,0.1,9.1,25,0,121.161933,23.045083,80
馬公,澎湖縣,51,臭氧八小時,普通,1.1,0.17,45.5,55.2,21,9,4.4,5.5,1,1.7,12,2024-06-05 07:00,,0.1,9.7,23,1,119.566158,23.569031,78
金門,金門縣,46,,良好,0.5,0.21,49.1,50.5,10,12,2.8,3.1,0.3,0.7,322,2024-06-05 07:00,,0.2,13,13,1,118.312256,24.432133,77
馬祖,連江縣,51,細懸浮微粒,普通,1,0.25,56.9,49.0,23,12,4.2,4.6,0.3,3.8,336,2024-06-05 07:00,,0.3,15.5,28,1,119.93149378,26.15188416,75
埔里,南投縣,33,,良好,1,0.24,26.3,33.2,10,11,2.4,3.7,1.2,0.4,38,2024-06-05 07:00,,0.2,10.2,10,1,120.967903,23.968842,72
復興,高雄市,26,,良好,0.8,0.53,26.4,28.6,15,1,13.9,17.7,3.8,0.3,125,2024-06-05 07:00,,0.3,1.6,8,1,120.312017,22.608711,71
永和,新北市,49,,良好,0.8,0.97,13.3,33.1,29,14,23.9,39.6,15.6,0.4,73,2024-06-05 07:00,,0.4,15,23,0,121.516306,25.017,70
竹山,南投縣,42,,良好,0.7,0.22,9.5,27.2,20,8,7,8.3,1.3,0.9,313,2024-06-05 07:00,,0.1,12.8,16,1,120.677306,23.756389,69
中壢,桃園市,55,細懸浮微粒,普通,2.5,1.54,6.7,18.1,41,18,33.8,97.5,63.7,0.2,224,2024-06-05 07:00,,0.8,17.2,28,1,121.221667,24.953278,68
三重,新北市,56,二氧化氮,普通,1.1,1.23,7.4,21.9,32,16,38.8,91.8,53,-,-,2024-06-05 07:00,,0.6,14.9,28,1,121.493806,25.072611,67
冬山,宜蘭縣,37,,良好,0.3,0.26,11,18.1,27,12,7.3,8.8,1.5,0.3,198,2024-06-05 07:00,,0.2,11.4,30,0,121.792928,24.632203,66
宜蘭,宜蘭縣,33,,良好,0.9,0.24,22.2,22.0,21,10,3.6,4.3,0.7,0.7,190,2024-06-05 07:00,,0.2,10.3,20,1,121.746394,24.747917,65
陽明,臺北市,50,,良好,0.8,0.18,47,54.1,21,9,1.2,1.4,0.2,2.9,180,2024-06-05 07:00,,0.1,8.9,23,1,121.529583,25.182722,64
花蓮,花蓮縣,37,,良好,0.7,0.23,32.8,38.9,27,8,2.4,3.4,0.9,2.3,214,2024-06-05 07:00,,0.2,11.5,26,0,121.599769,23.971306,63
臺東,臺東縣,39,,良好,1,0.18,36.9,42.3,26,10,2.7,4,1.3,1.7,305,2024-06-05 07:00,,0.1,9.2,25,1,121.15045,22.755358,62
恆春,屏東縣,50,,良好,0.2,0.17,55.4,54.9,29,13,0.8,0.5,0,5.9,42,2024-06-05 07:00,,0.1,11.2,24,0,120.788928,21.958069,61
