sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
龍潭,桃園市,44,,良好,0.8,0.34,19.6,21.0,23,10,18.4,20.9,2.5,0.4,171,2024-06-05 07:00,,0.3,13.7,25,1,121.21645772,24.86400048,21
平鎮,桃園市,45,,良好,1,0.4,25.2,26.8,18,15,13.1,14.7,1.6,0.4,179,2024-06-05 07:00,,0.3,13.8,23,1,121.203986,24.952786,20
觀音,桃園市,51,細懸浮微粒,普通,1.5,0.32,19.4,27.4,19,17,16.1,18.5,2.4,0.4,182,2024-06-05 07:00,,0.2,15.7,24,1,121.08283092,25.03556747,19
大園,桃園市,45,,良好,0.6,0.38,16,30.0,33,18,20.1,22.2,2.1,1.2,133,2024-06-05 07:00,,0.3,14,24,1,121.20251473,25.06100357,18
桃園,桃園市,52,細懸浮微粒,普通,1.8,0.44,20.1,28.1,25,19,24.3,25.8,1.5,0.5,193,2024-06-05 07:00,,0.3,15.8,24,1,121.30500531,24.9947107,17
大同,臺北市,60,細懸浮微粒,普通,0.8,1.02,4.7,25.7,31,27,36.7,70.7,34,-,-,2024-06-05 07:00,,0.6,19.3,30,0,121.51342074,25.06331455,16
松山,臺北市,47,,良好,1.4,0.28,20.1,35.3,28,11,16.8,17.7,0.9,0.8,56,2024-06-05 07:00,,0.2,14.5,29,1,121.578611,25.05,15
古亭,臺北市,50,,良好,1.7,0.39,19.9,38.0,22,17,17.1,18.8,1.6,0.5,61,2024-06-05 07:00,,0.2,15.3,23,1,121.529556,25.020608,14
萬華,臺北市,52,細懸浮微粒,普通,0.7,0.4,22.5,35.8,26,18,20.9,22.1,1.1,0.2,104,2024-06-05 07:00,,0.3,15.8,29,0,121.507972,25.046503,13
中山,臺北市,45,,良好,0.8,0.52,18.8,37.9,30,15,21.4,25.5,4.1,0.6,96,2024-06-05 07:00,,0.3,13.8,28,0,121.526528,25.062361,12
士林,臺北市,51,細懸浮微粒,普通,0.6,0.38,20.8,41.0,28,16,20.8,21.8,1,0.5,123,2024-06-05 07:00,,0.2,15.6,25,0,121.51666356,25.10334003,11
淡水,新北市,52,細懸浮微粒,普通,1.1,0.4,24.7,43.8,32,22,18.3,26,7.6,2.9,150,2024-06-05 07:00,,0.2,15.9,30,1,121.449239,25.1645,10
林口,新北市,44,,良好,0.9,0.3,34.1,36.7,28,16,16,18.6,2.6,2.3,105,2024-06-05 07:00,,0.2,13.4,26,0,121.36548982,25.07798949,9
菜寮,新北市,47,,良好,1,0.74,16.3,34.1,33,15,28.5,30.4,1.8,0.8,127,2024-06-05 07:00,,0.3,13.5,28,1,121.481028,25.06895,8
新莊,新北市,59,細懸浮微粒,普通,0.7,0.44,16,26.7,33,21,18.2,19.6,1.3,0.7,266,2024-06-05 07:00,,0.3,18.8,31,0,121.4325,25.037972,7
板橋,新北市,52,二氧化氮,普通,0.5,0.59,8.4,31.9,26,13,32.6,44.1,11.4,0.4,131,2024-06-05 07:00,,0.3,13.1,25,0,121.458667,25.012972,6
土城,新北市,61,細懸浮微粒,普通,0.8,0.46,8.2,29.9,26,18,27.9,34.1,6.1,0.6,359,2024-06-05 07:00,,0.3,19.5,28,1,121.451861,24.982528,5
新店,新北市,54,細懸浮微粒,普通,0.8,0.4,20.5,44.0,25,19,16.7,19.3,2.5,0.5,352,2024-06-05 07:00,,0.2,16.8,24,1,121.537778,24.977222,4
萬里,新北市,33,,良好,0.2,0.23,15.3,28.2,21,9,5.8,7.5,1.6,2.4,213,2024-06-05 07:00,,0.1,10.1,22,1,121.689881,25.179667,3
汐止,新北市,51,二氧化氮,普通,0.8,0.39,6.7,25.0,32,18,31.6,44.6,12.9,0.7,49,2024-06-05 07:00,,0.2,13.4,25,0,121.64081,25.06624,2
基隆,基隆市,45,,良好,0.3,0.23,50.4,49.1,20,8,5,5.3,0.3,1.6,94,2024-06-05 07:00,,0.2,9.5,22,0,121.760056,25.129167,1
屏東(枋山),屏東縣,61,臭氧八小時,普通,0,0.15,61.3,58.8,27,9,3,3,0,3.4,68,2024-06-05 06:00,,0.1,7.5,23,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,32,,良好,0.7,0.39,11.5,30.6,19,10,16.3,17.8,1.4,0.2,86,2024-06-05 06:00,,0.4,10,16,0,120.65525382,24.39017512,312
新北(樹林),新北市,62,細懸浮微粒,普通,0.4,0.27,15.1,18.7,28,22,12.8,14.3,1.4,0,21,2024-06-05 06:00,,0.2,19.8,30,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,31,,良好,3.4,0.21,32.3,34.5,8,9,8.2,8.8,0.6,0.8,19,2024-06-05 06:00,,0.2,8.4,14,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,31,,良好,0.3,0.26,20.7,33.2,20,11,11.4,12.4,1,0.2,357,2024-06-05 06:00,,0.2,7.5,17,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,22,,良好,0.7,0.22,17.6,24.3,11,7,9.6,10.9,1.3,0.3,39,2024-06-05 06:00,,0.2,5.9,9,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,41,,良好,1.2,0.27,15.8,33.7,22,11,5.9,6.8,0.9,0.3,2,2024-06-05 06:00,,0.2,12.5,21,1,120.56373,23.96117,201
大城,彰化縣,52,細懸浮微粒,普通,0.9,0.19,19.7,34.6,40,16,6,7,1,0.8,71,2024-06-05 06:00,,0.1,16.1,30,1,120.26964167,23.85493056,85
富貴角,新北市,50,,良好,0.8,0.13,55.3,54.3,27,16,1.5,1.5,0,5.5,94,2024-06-05 06:00,,0.1,12.5,31,0,121.53656894,25.29681695,84
麥寮,雲林縣,54,細懸浮微粒,普通,1,0.25,16.4,32.9,35,19,5.6,6.1,0.4,0.5,47,2024-06-05 06:00,,0.2,16.7,25,1,120.251825,23.753506,83
關山,臺東縣,30,,良好,0.5,0.17,24.8,24.8,29,11,1.9,3,1,0.4,150,2024-06-05 06:00,,0.1,9.2,26,0,121.161933,23.045083,80
馬公,澎湖縣,58,臭氧八小時,普通,1.2,0.15,45.9,57.3,21,6,3.4,4.2,0.8,1.5,28,2024-06-05 06:00,,0.1,9.7,23,1,119.566158,23.569031,78
金門,金門縣,44,,良好,0.6,0.21,50.2,48.4,13,18,3.2,3.6,0.3,1.1,333,2024-06-05 06:00,,0.2,12.9,14,1,118.312256,24.432133,77
馬祖,連江縣,52,細懸浮微粒,普通,2.6,0.36,53.5,48.7,24,19,7.6,8.1,0.4,3.4,344,2024-06-05 06:00,,0.3,16.1,28,1,119.93149378,26.15188416,75
埔里,南投縣,32,,良好,1.1,0.21,28,35.0,11,11,2,2.8,0.8,0.4,119,2024-06-05 06:00,,0.2,9.7,11,1,120.967903,23.968842,72
復興,高雄市,27,,良好,0.4,0.35,30.5,29.7,7,0,7.7,9.1,1.3,0.5,132,2024-06-05 06:00,,0.3,1.9,8,1,120.312017,22.608711,71
永和,新北市,51,細懸浮微粒,普通,0.9,0.52,22.7,37.6,22,15,18.6,23.2,4.6,0.6,74,2024-06-05 06:00,,0.3,15.5,22,0,121.516306,25.017,70
竹山,南投縣,44,,良好,0.7,0.2,18,32.9,24,18,5.5,6.4,0.8,0.5,45,2024-06-05 06:00,,0.1,13.6,16,1,120.677306,23.756389,69
中壢,桃園市,55,細懸浮微粒,普通,2.1,0.8,12.8,19.0,23,17,21.9,40.9,18.9,0.2,249,2024-06-05 06:00,,0.7,17.2,26,1,121.221667,24.953278,68
三重,新北市,47,,良好,1.3,0.75,15,24.5,27,16,27.8,49.5,21.7,-,-,2024-06-05 06:00,,0.5,14.5,27,1,121.493806,25.072611,67
冬山,宜蘭縣,38,,良好,0.4,0.2,13.5,19.4,29,9,3.3,4,0.6,0.7,313,2024-06-05 06:00,,0.1,11.6,30,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,0.9,0.23,18.9,22.2,19,11,3,3.6,0.6,0.5,180,2024-06-05 06:00,,0.2,9.7,20,1,121.746394,24.747917,65
陽明,臺北市,51,臭氧八小時,普通,0.8,0.18,52.4,55.0,23,9,1.2,1.5,0.2,3.2,180,2024-06-05 06:00,,0.1,9,23,1,121.529583,25.182722,64
花蓮,花蓮縣,38,,良好,0.7,0.21,37.3,39.8,29,13,1.9,2.6,0.7,2.2,214,2024-06-05 06:00,,0.2,11.8,25,0,121.599769,23.971306,63
臺東,臺東縣,39,,良好,1.2,0.16,39,42.6,26,9,1.9,3.2,1.2,1.1,312,2024-06-05 06:00,,0.1,9,25,1,121.15045,22.755358,62
恆春,屏東縣,51,臭氧八小時,普通,0.3,0.16,55.6,55.2,26,11,0.8,0.6,0,5.7,38,2024-06-05 06:00,,0.1,11.2,22,0,120.788928,21.958069,61
潮州,屏東縣,26,,良好,0.3,0.18,12.2,21.1,34,5,5.3,5.6,0.2,0.6,50,2024-06-05 06:00,,0.1,6.1,26,1,120.561175,22.523108,60
屏東,屏東縣,28,,良好,0.9,0.24,21.1,30.8,40,3,5.1,6.1,0.9,0.4,345,2024-06-05 06:00,,0.2,3.1,17,1,120.488033,22.673081,59
小港,高雄市,27,,良好,1.7,0.28,19.3,29.2,14,5,15.2,16.5,1.2,1,42,2024-06-05 06:00,,0.2,5.5,8,1,120.337736,22.565833,58
前鎮,高雄市,26,,良好,1.3,0.27,30.6,28.3,9,0,7.7,8.5,0.8,1.4,9,2024-06-05 06:00,,0.3,2.9,11,1,120.30833356,22.6044507,57
前金,高雄市,30,,良好,0.4,0.24,28.1,32.9,9,4,8.7,9.4,0.6,1.8,341,2024-06-05 06:00,,0.2,2.9,8,0,120.28676111,22.63390278,56
左營,高雄市,26,,良好,0.6,0.27,21,28.2,21,10,9.4,9.8,0.4,0.7,12,2024-06-05 06:00,,0.2,8,13,0,120.292917,22.674861,54
楠梓,高雄市,24,,良好,0.4,0.22,19.3,26.9,13,4,10.2,11.5,1.3,0.5,49,2024-06-05 06:00,,0.2,4.9,14,1,120.328289,22.733667,53
林園,高雄市,27,,良好,2.3,0.21,21.7,29.7,28,5,5.9,6.6,0.7,0.9,37,2024-06-05 06:00,,0.2,7.6,23,1,120.41175,22.4795,52
大寮,高雄市,20,,良好,1.5,0.23,14.2,22.7,25,10,12.4,13.3,0.8,0,98,2024-06-05 06:00,,0.2,5.7,20,3,120.425311,22.56413611,51
鳳山,高雄市,30,,良好,1.2,0.29,26,32.5,20,2,6.4,7.1,0.6,0.6,303,2024-06-05 06:00,,0.2,2.5,12,1,120.357422,22.628126,50
仁武,高雄市,35,,良好,1.8,0.3,9.3,25.0,15,7,21.4,25.7,4.2,0.7,338,2024-06-05 06:00,,0.2,6.5,12,1,120.332631,22.689056,49
橋頭,高雄市,25,,良好,1,0.21,15.6,27.2,23,4,9.3,10.2,0.9,0.7,64,2024-06-05 06:00,,0.2,5.9,14,1,120.305689,22.757506,48
美濃,高雄市,22,,良好,0.7,0.22,16.8,24.5,25,0,2.7,3.6,0.8,0.3,110,2024-06-05 06:00,,0.1,0.5,16,0,120.530542,22.883583,47
臺南,臺南市,37,,良好,1,0.34,21.6,32.3,22,18,17.3,17.7,0.3,0.4,24,2024-06-05 06:00,,0.2,11.4,15,0,120.21947897,22.98928311,46
安南,臺南市,39,,良好,0.4,0.26,27.1,31.3,17,10,8.5,9.7,1.1,0.3,19,2024-06-05 06:00,,0.2,11.9,18,1,120.2175,23.048197,45
善化,臺南市,28,,良好,0.5,0.2,20.9,30.7,19,11,5.3,5.9,0.6,0.7,5,2024-06-05 06:00,,0.1,7.6,12,1,120.29740529,23.11337642,44
新營,臺南市,35,,良好,0.8,0.23,16.6,38.1,24,6,11.9,13.8,1.9,0.3,30,2024-06-05 06:00,,0.2,3,16,1,120.31725,23.305633,43
嘉義,嘉義市,35,,良好,0.9,0.23,33.7,38.5,10,0,4.3,5.5,1.2,1,337,2024-06-05 06:00,,0.2,2.2,8,1,120.44125148,23.46477865,42
臺西,雲林縣,36,,良好,0.5,0.24,22.6,36.7,34,16,4,4.5,0.4,0.4,36,2024-06-05 06:00,,0.2,11.1,24,0,120.19933333,23.702175,41
朴子,嘉義縣,37,,良好,1,0.24,25.5,36.9,24,15,5.1,6.1,1,0.4,327,2024-06-05 06:00,,0.2,11.4,19,1,120.2478,23.46538,40
新港,嘉義縣,49,,良好,1.4,0.25,25.9,37.9,35,20,6.1,7.9,1.7,0.2,335,2024-06-05 06:00,,0.2,15.2,28,1,120.345531,23.554839,39
崙背,雲林縣,54,細懸浮微粒,普通,0.4,0.27,14.9,29.0,29,17,6.8,8.6,1.7,0.2,36,2024-06-05 06:00,,0.2,16.9,26,0,120.348742,23.757547,38
斗六,雲林縣,32,,良好,1.9,0.25,21.3,35.9,14,6,7.6,8.7,1.1,0.2,56,2024-06-05 06:00,,0.2,9.6,18,1,120.544994,23.711853,37
南投,南投縣,38,,良好,0.1,0.22,16.3,30.9,26,15,4.2,5.6,1.4,0.3,143,2024-06-05 06:00,,0.2,11.6,24,0,120.685306,23.913,36
二林,彰化縣,64,細懸浮微粒,普通,1,0.28,14.4,30.2,32,24,5.7,6.2,0.5,0.8,2,2024-06-05 06:00,,0.2,20.7,30,1,120.409653,23.925175,35
線西,彰化縣,41,,良好,0.7,0.27,19.4,35.2,26,8,9.4,9.6,0.2,0.4,192,2024-06-05 06:00,,0.2,12.5,25,1,120.469061,24.131672,34
彰化,彰化縣,33,,良好,0.4,0.31,21.2,35.0,24,10,6.4,7.7,1.3,0.5,29,2024-06-05 06:00,,0.2,10.1,21,1,120.541519,24.066,33
西屯,臺中市,47,,良好,0.9,0.27,23.9,34.2,19,11,11,12.5,1.5,0.3,87,2024-06-05 06:00,,0.2,14.4,23,1,120.616917,24.162197,32
忠明,臺中市,44,,良好,1.5,0.35,11.9,32.6,82,11,16.3,18.2,1.9,0.4,323,2024-06-05 06:00,,0.3,13.4,30,1,120.641092,24.151958,31
大里,臺中市,51,細懸浮微粒,普通,1.2,0.31,10.4,29.1,23,14,7.4,8.5,1.1,1,268,2024-06-05 06:00,,0.3,15.7,20,1,120.67844444,24.09961111,30
沙鹿,臺中市,38,,良好,0.8,0.28,21.3,37.3,9,11,10.6,11.3,0.7,0.4,62,2024-06-05 06:00,,0.2,11.7,16,1,120.568794,24.225628,29
豐原,臺中市,29,,良好,0.9,0.22,22.9,31.1,13,3,3.7,4.7,1,1.5,118,2024-06-05 06:00,,0.2,8.5,16,1,120.74252414,24.25699731,28
三義,苗栗縣,26,,良好,1,0.23,12.7,28.3,9,0,5.7,7,1.3,0.3,350,2024-06-05 06:00,,0.2,6.5,13,1,120.75956754,24.38248443,27
苗栗,苗栗縣,27,,良好,1.4,0.19,24,26.4,11,6,3.2,4.5,1.3,0.4,77,2024-06-05 06:00,,0.2,8.3,11,1,120.82011468,24.56499183,26
頭份,苗栗縣,29,,良好,1.1,0.22,29.8,29.9,13,10,2.9,4,1.1,1.4,93,2024-06-05 06:00,,0.2,8.9,14,1,120.89869286,24.69690679,25
新竹,新竹市,31,,良好,0.4,0.25,29,29.4,13,3,6.3,7.1,0.8,0.9,49,2024-06-05 06:00,,0.3,9.5,12,1,120.97236752,24.8056356,24
竹東,新竹縣,29,,良好,0.3,0.25,18.8,19.4,19,10,4.3,4.6,0.2,0.2,131,2024-06-05 06:00,,0.2,8.9,18,1,121.08895493,24.74091408,23
湖口,新竹縣,45,,良好,0.4,0.26,27.7,28.0,17,9,6.8,8.2,1.3,0.6,105,2024-06-05 06:00,,0.3,14,21,1,121.03886894,24.90009696,22
龍潭,桃園市,47,,良好,0.5,0.27,26.7,22.2,23,13,11.9,13,1.1,0.9,151,2024-06-05 06:00,,0.3,14.6,26,1,121.21645772,24.86400048,21
平鎮,桃園市,44,,良好,0.8,0.32,26.9,25.8,19,14,10.3,11.3,1,0.6,157,2024-06-05 06:00,,0.4,13.7,24,1,121.203986,24.952786,20
觀音,桃園市,49,,良好,0.7,0.29,24.6,29.4,23,15,11.7,12.3,0.5,1.1,120,2024-06-05 06:00,,0.2,15.2,25,1,121.08283092,25.03556747,19
大園,桃園市,43,,良好,0.4,0.35,16.8,32.9,24,12,16.2,17.2,0.9,1.6,164,2024-06-05 06:00,,0.3,13.2,23,1,121.20251473,25.06100357,18
桃園,桃園市,48,,良好,1.9,0.34,19.1,31.3,24,15,18.4,19,0.5,0.9,203,2024-06-05 06:00,,0.3,14.8,23,1,121.30500531,24.9947107,17
大同,臺北市,56,細懸浮微粒,普通,0.8,0.63,13.8,28.4,26,18,24.7,30.2,5.4,-,-,2024-06-05 06:00,,0.5,17.6,31,0,121.51342074,25.06331455,16
松山,臺北市,52,細懸浮微粒,普通,1.3,0.25,28.1,38.1,29,17,9.6,9.6,0,0.7,55,2024-06-05 06:00,,0.2,16,28,1,121.578611,25.05,15
古亭,臺北市,48,,良好,1.7,0.35,27.6,42.2,21,16,12.3,13.1,0.8,0.7,81,2024-06-05 06:00,,0.2,14.9,23,1,121.529556,25.020608,14
萬華,臺北市,48,,良好,0.9,0.41,24.9,37.9,30,18,19.3,21.3,1.9,0.3,83,2024-06-05 06:00,,0.3,14.7,29,0,121.507972,25.046503,13
中山,臺北市,43,,良好,1,0.36,31.2,40.4,28,16,12.9,13.5,0.6,1,156,2024-06-05 06:00,,0.2,13.3,28,0,121.526528,25.062361,12
士林,臺北市,49,,良好,0.6,0.39,21.3,44.9,23,21,21.3,22.1,0.7,0.3,185,2024-06-05 06:00,,0.2,15,24,0,121.51666356,25.10334003,11
淡水,新北市,46,,良好,1.3,0.39,21.1,48.0,34,21,17,17.8,0.8,2.8,150,2024-06-05 06:00,,0.2,14.2,29,1,121.449239,25.1645,10
林口,新北市,41,,良好,0.8,0.24,43.6,38.4,26,13,9.8,11,1.2,1,119,2024-06-05 06:00,,0.2,12.7,26,0,121.36548982,25.07798949,9
菜寮,新北市,43,,良好,1.6,0.46,22.8,37.9,26,15,17.8,18.3,0.5,1.6,119,2024-06-05 06:00,,0.3,13.1,27,1,121.481028,25.06895,8
新莊,新北市,58,細懸浮微粒,普通,1.1,0.34,16,29.8,26,18,16.3,17.4,1,0.8,234,2024-06-05 06:00,,0.3,18.3,31,0,121.4325,25.037972,7
板橋,新北市,43,,良好,0.6,0.35,24.2,36.7,19,15,14.9,15.8,0.8,0.2,229,2024-06-05 06:00,,0.3,13.2,25,0,121.458667,25.012972,6
土城,新北市,63,細懸浮微粒,普通,0.9,0.3,24.4,35.9,28,21,11.1,11.6,0.4,0.3,82,2024-06-05 06:00,,0.2,20.4,28,1,121.451861,24.982528,5
新店,新北市,54,細懸浮微粒,普通,1,0.26,31.8,48.6,25,20,7.8,9,1.2,0.6,109,2024-06-05 06:00,,0.2,16.8,24,1,121.537778,24.977222,4
萬里,新北市,33,,良好,0.1,0.19,18.5,31.8,19,11,4,4.6,0.5,2,200,2024-06-05 06:00,,0.1,10.3,22,1,121.689881,25.179667,3
汐止,新北市,43,,良好,0.4,0.27,6.6,30.8,26,16,26.6,29.9,3.3,0.3,335,2024-06-05 06:00,,0.2,13,23,1,121.64081,25.06624,2
基隆,基隆市,45,,良好,0.2,0.24,46.2,49.3,24,10,4.6,4.8,0.2,1.7,98,2024-06-05 06:00,,0.1,9.6,23,1,121.760056,25.129167,1
屏東(枋山),屏東縣,61,臭氧八小時,普通,0,0.16,43.5,58.9,21,6,3.4,3.4,0,0.7,10,2024-06-05 05:00,,0.1,7,23,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,33,,良好,0.5,0.39,22,34.6,16,8,10.4,11.1,0.6,0.6,69,2024-06-05 05:00,,0.4,10.2,16,0,120.65525382,24.39017512,312
新北(樹林),新北市,62,細懸浮微粒,普通,0.4,0.23,14.3,20.7,37,20,9.7,10.2,0.5,0,161,2024-06-05 05:00,,0.3,20.1,31,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,32,,良好,4,0.29,25,35.9,18,10,10.3,10.9,0.5,0.6,20,2024-06-05 05:00,,0.2,8.2,14,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,34,,良好,0.1,0.21,27,37.1,19,5,7,7.9,0.8,0.2,22,2024-06-05 05:00,,0.2,6.9,16,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,24,,良好,0.6,0.21,19,26.2,12,5,7.2,8.5,1.3,0.3,6,2024-06-05 05:00,,0.2,5.8,9,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,43,,良好,1.2,0.23,25.7,38.4,18,9,4.3,4.6,0.3,0.3,122,2024-06-05 05:00,,0.2,13.3,22,1,120.56373,23.96117,201
大城,彰化縣,51,細懸浮微粒,普通,0.9,0.2,26.3,38.4,31,20,5.2,6.5,1.2,0.6,94,2024-06-05 05:00,,0.1,15.5,27,1,120.26964167,23.85493056,85
富貴角,新北市,50,,良好,1.1,0.13,50.7,54.5,40,12,2.4,2.5,0,4.1,91,2024-06-05 05:00,,0.1,11.5,32,0,121.53656894,25.29681695,84
麥寮,雲林縣,50,,良好,1,0.24,18.2,36.5,34,21,4.8,5,0.2,0.9,40,2024-06-05 05:00,,0.2,15.4,22,1,120.251825,23.753506,83
關山,臺東縣,29,,良好,0.8,0.17,22.4,25.6,25,6,1.9,3,1,0.7,256,2024-06-05 05:00,,0.1,8.9,25,0,121.161933,23.045083,80
馬公,澎湖縣,64,臭氧八小時,普通,1,0.14,52,59.5,16,7,2.6,3.2,0.6,1.5,31,2024-06-05 05:00,,0.1,10.3,24,1,119.566158,23.569031,78
金門,金門縣,43,,良好,0.5,0.21,50.7,46.9,13,14,4.5,4.9,0.3,1.6,333,2024-06-05 05:00,,0.2,11.3,14,1,118.312256,24.432133,77
馬祖,連江縣,48,,良好,3.8,0.57,33,49.8,43,22,10.2,10.7,0.5,2.7,350,2024-06-05 05:00,,0.2,14.9,29,1,119.93149378,26.15188416,75
埔里,南投縣,33,,良好,1.1,0.2,31.7,36.9,10,8,1.9,2.9,0.9,0.4,315,2024-06-05 05:00,,0.2,9.1,10,1,120.967903,23.968842,72
復興,高雄市,28,,良好,0.3,0.26,34.3,30.3,5,1,6.2,7.3,1,0.3,127,2024-06-05 05:00,,0.3,3,9,1,120.312017,22.608711,71
永和,新北市,48,,良好,0.9,0.58,20.2,40.8,27,20,17.9,19.8,1.8,1,287,2024-06-05 05:00,,0.3,14.9,22,0,121.516306,25.017,70
竹山,南投縣,41,,良好,0.7,0.18,20.3,37.2,16,11,5.2,6,0.7,0.5,241,2024-06-05 05:00,,0.1,12.7,16,1,120.677306,23.756389,69
中壢,桃園市,55,細懸浮微粒,普通,1.8,0.52,15.5,19.2,24,13,17.5,22.5,5,0.5,193,2024-06-05 05:00,,0.8,17.1,27,1,121.221667,24.953278,68
三重,新北市,50,,良好,1.1,0.74,13.6,25.7,32,20,30.8,56.4,25.6,-,-,2024-06-05 05:00,,0.5,13.9,28,1,121.493806,25.072611,67
冬山,宜蘭縣,39,,良好,0.3,0.18,18.3,20.7,30,12,3.4,3.9,0.4,0.7,302,2024-06-05 05:00,,0.1,12,30,0,121.792928,24.632203,66
宜蘭,宜蘭縣,30,,良好,0.9,0.2,19.4,22.8,20,14,2.3,2.9,0.6,0.3,184,2024-06-05 05:00,,0.2,9.2,20,1,121.746394,24.747917,65
陽明,臺北市,51,臭氧八小時,普通,0.8,0.18,56.2,55.7,25,8,1.2,1.4,0.2,2.7,180,2024-06-05 05:00,,0.1,9.4,24,1,121.529583,25.182722,64
花蓮,花蓮縣,37,,良好,0.6,0.2,37.4,39.2,27,14,1.5,2.2,0.7,2.4,224,2024-06-05 05:00,,0.2,11.3,24,0,121.599769,23.971306,63
臺東,臺東縣,39,,良好,1,0.15,36.5,42.4,26,12,1.7,2.8,1,1.4,303,2024-06-05 05:00,,0.1,8.7,25,1,121.15045,22.755358,62
恆春,屏東縣,51,臭氧八小時,普通,0.2,0.16,55.7,55.6,28,13,0.7,0.4,0,6.6,37,2024-06-05 05:00,,0.1,10.9,21,0,120.788928,21.958069,61
潮州,屏東縣,23,,良好,0.3,0.18,16.2,23.7,30,5,4.9,5.3,0.3,1,61,2024-06-05 05:00,,0.1,6.6,23,1,120.561175,22.523108,60
屏東,屏東縣,30,,良好,0.7,0.19,25.7,32.7,14,2,4,4.9,0.9,0.4,35,2024-06-05 05:00,,0.2,3.1,13,1,120.488033,22.673081,59
小港,高雄市,29,,良好,1.5,0.24,28,31.3,4,5,13.5,14.7,1.1,0.7,51,2024-06-05 05:00,,0.2,5.6,7,1,120.337736,22.565833,58
前鎮,高雄市,26,,良好,1.1,0.23,31.5,28.4,9,0,7.3,8,0.6,1.1,17,2024-06-05 05:00,,0.3,3.9,12,1,120.30833356,22.6044507,57
前金,高雄市,31,,良好,0.4,0.23,28.1,33.7,8,3,9.1,9.7,0.5,1.4,330,2024-06-05 05:00,,0.2,2.9,9,0,120.28676111,22.63390278,56
左營,高雄市,27,,良好,0.3,0.39,25.9,29.8,14,9,7.2,7.6,0.3,1.6,43,2024-06-05 05:00,,0.2,7.6,12,0,120.292917,22.674861,54
楠梓,高雄市,26,,良好,0.4,0.21,18.2,28.8,21,4,10,11,1,1.1,59,2024-06-05 05:00,,0.2,4.8,13,1,120.328289,22.733667,53
林園,高雄市,29,,良好,1.8,0.21,25.2,31.7,24,4,6.3,7,0.6,1.5,32,2024-06-05 05:00,,0.2,8,23,1,120.41175,22.4795,52
大寮,高雄市,23,,良好,2.2,0.22,15.6,25.4,26,5,10.4,11.3,0.9,0.2,46,2024-06-05 05:00,,0.2,5.4,19,3,120.425311,22.56413611,51
鳳山,高雄市,31,,良好,1.6,0.25,26,34.1,16,1,8.7,9.3,0.5,0.3,73,2024-06-05 05:00,,0.2,3.2,11,1,120.357422,22.628126,50
仁武,高雄市,26,,良好,1.2,0.27,19.9,29.0,17,8,14.8,15.8,0.9,0.4,73,2024-06-05 05:00,,0.2,6.5,12,1,120.332631,22.689056,49
橋頭,高雄市,27,,良好,1,0.21,23.5,29.8,12,6,6.9,7.7,0.7,0.8,48,2024-06-05 05:00,,0.2,6,13,1,120.305689,22.757506,48
美濃,高雄市,26,,良好,0.5,0.2,17.1,28.2,23,0,2.5,3.3,0.7,0.6,69,2024-06-05 05:00,,0.1,1,15,0,120.530542,22.883583,47
臺南,臺南市,33,,良好,1.3,0.32,18.9,34.0,26,19,18.1,18.3,0.2,1,0,2024-06-05 05:00,,0.2,10.1,13,0,120.21947897,22.98928311,46
安南,臺南市,42,,良好,0.2,0.23,27.3,33.1,16,10,7.3,8,0.6,0.3,315,2024-06-05 05:00,,0.2,12.8,19,1,120.2175,23.048197,45
善化,臺南市,31,,良好,0.3,0.19,23.6,34.1,19,8,4.6,5.3,0.6,0.7,334,2024-06-05 05:00,,0.1,7,11,1,120.29740529,23.11337642,44
新營,臺南市,40,,良好,0.7,0.21,27.5,43.2,17,0,6.4,7.9,1.4,0.3,8,2024-06-05 05:00,,0.2,2.4,14,1,120.31725,23.305633,43
嘉義,嘉義市,38,,良好,0.9,0.2,29.9,41.2,9,0,3.5,4.5,0.9,1.2,33,2024-06-05 05:00,,0.1,2.8,8,1,120.44125148,23.46477865,42
臺西,雲林縣,36,,良好,0.6,0.22,24,39.2,31,13,3.5,4,0.5,0.4,60,2024-06-05 05:00,,0.2,10.3,22,1,120.19933333,23.702175,41
朴子,嘉義縣,37,,良好,0.9,0.24,23.6,40.1,29,17,4.8,5.9,1,0.3,18,2024-06-05 05:00,,0.2,10.5,18,1,120.2478,23.46538,40
新港,嘉義縣,48,,良好,1.2,0.22,26.3,41.6,22,13,6,7.6,1.5,0.6,25,2024-06-05 05:00,,0.2,14.7,26,1,120.345531,23.554839,39
